track,source,attraction,review_text,rating,review_date,reviewer_origin,lat,lon,url
regional,Google Places,Kings Canyon,"The Rim walk is gorgeous,  with stunning vistas and well maintained walking paths, and clearly presented route markers.  Late afternoon has some amazing lighting on the rock walks and rock formations.
Highly recommended!",5,a month ago,,,,
regional,Google Places,Kings Canyon,"Amazing! Paid $10 per adult and I think $5 for a child for a day pass. Don't like the online system to book that but is what it is. But oh my King's Canyon itself is amazingly stunning! We did the Rim Walk which was a 6km loop. Those 500 steps at the beginning of the walk were the worst part for me!! The views from the top were amazing!! Took us three hours to complete - with lots of stops and rest breaks! Eden's garden was beautiful!!
At the beginning there were lots of information boards, toilets and water bubblers - place to refill water bottles too! Tracks are very well maintained.
Wish we had more time to explore!!! But we'll be back!!",5,2 months ago,,,,
regional,Google Places,Kings Canyon,"Very beautiful walk, the Rim is not that hard.  First 1 km was a bit steep but the rest part of it was so nice, directions were very well marked, you can't get the way wrong.",5,a month ago,,,,
regional,Google Places,Kings Canyon,Amazing experience from start to finish. The scenery is breath taking and the views are great. Well worth the steep climb at the start for the rim walk and yes I do recommend the lookout walk and the garden of Eden. Will add 2 kms to the walk but so worth it. You will have to buy a day pass for NT National parks 10 dollars each for adults and 5 for children. Definitely worth it. After you can cruise up the creek walk to the big platform and see the rocks and trees from below it's also beautiful.,5,4 months ago,,,,
regional,Google Places,Kings Canyon,The rim walk is definitely 3-4 hrs and challenging but it is worth it with awesome landscapes and little gems like the garden of Eden. The hours on Google maps are incorrect insofar as the only restriction to entry is that you have to enter BY 9 am on days where the temperature is supposed to reach 36 degrees and over.,5,2 weeks ago,,,,
regional,Google Places,Kakadu National Park,"Kakadu is the perfect place to spend a day with family, surrounded by incredible natural beauty. There are safe swimming spots where you can splash around and cool off, and plenty of shaded areas ideal for a picnic. The scenery is breathtaking, with stunning landscapes, wildlife, and waterholes that make every visit feel special. It’s a wonderful spot to unwind, share food, and enjoy the outdoors together. A must-do for families looking for both relaxation and adventure.",5,a month ago,,,,
regional,Google Places,Kakadu National Park,I explored Kakadu on a day trip from Darwin with Autopia tours. Our guide Aaron was super knowledgeable and gave loads of information on the rock art and some of the specious of wildlife we saw along the way. The park itself is stunning and you must go to the top of the viewpoint to take it all in.,5,2 months ago,,,,
regional,Google Places,Kakadu National Park,Nothing else like it on the planet. Go up in a plane or helicopter and do a lap or two out of Jabiru. Do a river Yellow River cruise and try not to be eaten by a croc. Jim Jim falls is worth a visit. Play your cards right and come down in late April.,5,5 months ago,,,,
regional,Google Places,Kakadu National Park,Kakadu is definitely a must-see before you die. Abundant wildlife and abundant scenery.  I absolutely love the area and am so glad I visited NT.,5,4 months ago,,,,
regional,Google Places,Kakadu National Park,Amazing wildlife including crocodiles and so many birds. The map you can get is really helpful to show where different things are. Very nice camp grounds and tours. Amazing to see the rock art too. Great hikes to beautiful swimming holes,5,a year ago,,,,
regional,Google Places,Nawurlandja Lookout,"Moving experience here. The view is stunning from the top and as the sign says, it will take your breath away. Recommend sitting at the top and just listening. You need to climb up uneven rocks and a steep slope so mobility required although you could just climb the first set of stairs and still have a gorgeous view. Carpark available, no toilets. Climb is about 10-15 mins one way.",5,2 months ago,,,,
regional,Google Places,Nawurlandja Lookout,"Beautiful scenery, short but very steep walk. We took a gamble and took our caravan there as didn’t want to go back on ourselves. Two long vehicle spaces but both allocated to buses. We parked long across two bays (30ft van) and were fine, someone else had done the same when we returned, not very busy so not inconveniencing anyone!",5,2 weeks ago,,,,
regional,Google Places,Nawurlandja Lookout,Beautiful view. Short but steep walk. Like 20 mins.,5,a month ago,,,,
regional,Google Places,Nawurlandja Lookout,"Spectacular lookout with artistes dotted around. Sweeping views of the major areas of Kakadu and interesting rock formations. Relatively accessible walking, perhaps 15 mins to high point of rock face.",4,a year ago,,,,
regional,Google Places,Nawurlandja Lookout,"This is an amazing place and one of the few places open during the wet season. It certainly won't disappoint. The walk to the lookout is only 300 metres, and although it is a steep and it will not take much time at all. Only disappointment is there were no toilets at this destination.",4,2 years ago,,,,
regional,Google Places,Rock Art,"What an amazing experience. I highly recommend visiting while in the area. Rock paintings are estimated to be over 5000 years old. Stories are shown alongside. You can just go to the ""gallery"" area or the whole way up to the lookout over Arnhem Land which I recommend. Visually stunning and moving. Climbing over uneven rocks is necessary but there are some bannisters installed. Limited mobility may not make it to the very top as there is free climbing involved. Car park and toilets available.",5,2 months ago,,,,
regional,Google Places,Rock Art,"A trip to Kakadu wouldn’t be complete without visiting the incredible art at Ubirr. The detail, the complexity and the range of styles was mind blowing. Keep your voices low and you’ll hear and see a great deal of wildlife too.",5,2 months ago,,,,
regional,Google Places,Rock Art,This place is full of history amazing views and art. We loved the walk through was very exciting to see the views and the awesome art there. Definitely worth the walk for sure.,5,3 months ago,,,,
regional,Google Places,Rock Art,The walking trail from the carpark is a flat easy walk. Getting up close to see the rock art involves some rough steps to access them. Amazing detail can be seen on some areas but the weather and time has faded others. Some drawings of the images are shown on signs which helps to see the shapes and locate the images. Toilets in the carpark were clean.,4,2 months ago,,,,
regional,Google Places,Rock Art,Amazing short walk through some rock art. Not far from the carpark. The option to walk a little further to the lookout which overlooks the flood Plains.,5,2 months ago,,,,
regional,Google Places,Jim Jim Falls,"Amazing natural scenes. We went as part of a tour, arriving early. When we left (early afternoon) the car park was full.

Challenging walk in and out, but well worth it.

You can swim to the falls after clambering through across the initial lagoons and rocks. The swim is approx 200m each way across deep water. As you approach the falls, you swim into a strong breeze and small water chop. It’s not for the unfit.",5,2 months ago,,,,
regional,Google Places,Jim Jim Falls,"⭐️⭐️⭐️⭐️⭐️
“An unforgettable experience! The towering cliffs, crystal-clear plunge pool, and sheer scale of Jim Jim Falls make it one of Kakadu’s most breathtaking spots.”",5,2 weeks ago,,,,
regional,Google Places,Jim Jim Falls,"Such a majestic place!
The 50km dirtroad is corrugated but not too bad as Gunlom right now.
The last 10km is a 4WD track where you go through creeks, that last part took us 45min. because we are heavy loaded.
Really worth it!",5,a month ago,,,,
regional,Google Places,Jim Jim Falls,"Went to the falls in the last week of September. Absolutely stunning-the high cliffs and deep plunge pool are worth the drive in for sure. The road was fantastic as graders had just gone through. Two ankle high areas of water in the last 5 km of the trail, we managed to make it through in a BMW X5. Quite a bit of a walk in over large rocks (see photos)-we took 40 minutes and are fairly confident walkers.",5,11 months ago,,,,
regional,Google Places,Jim Jim Falls,"Thanks Audrey Senior for your review - it certainly helped us today.
The road today had a lot of very deep corrugations and rocky ridges through the road.  The good news is the graders are there so the road was already in better shape on our way out.  It’s a slow trip as it is a 60km speed limit.  Please stick to the limit.  There were a few people overtaking us in the way out doing up near 100km and the dust created was thick and just hangs.  Just because you can drive faster does not mean you should.  There is a valid reason for the slower speed limits.
We arrived at 10am and there were already a few tour buses there and about 10 cars.  We only saw a few people on the walk in.  Make sure you wear decent hiking boots for the walk in and out.  Even through there were a few people around we did not feel like it was over crowded.  If you are not a confident swimmer then take your pool noodles  no as the water gets deep quickly.
When you go for a swim be warned of the crows.  They will go through your bag and pinch what they can.  There are 2 of them and one will distract you whilst the other pinches items from your bag so make sure your portions as stored in your bag and your bag is zippered shut.  They are cheeky buggers.
We left the carpark just after 2pm and there were still people arriving.  We were lucky enough to only have 1 car come through the narrow 4wd section of the road from the campground area and were in a position where we could pull over to let them pass.
The 4wd action of the track is not too bad.  There is water crossings are shallow and there is only a couple of sandy section.  The road does twist, turn and undulate so you do need to have the height clearance.  The road is quite narrow but there are only a couple of spots where it is difficult to see oncoming traffic.
The falls are not flowing at the moment but there is still a lot of water in the area so it’s still worth the trip.
Loved it.  Would love to stay at the Kim Jim
campgrounds and spend more time in the area doing the 6k hike, lookout and twin falls but that will have to be another trip.",5,a year ago,,,,
regional,Google Places,Litchfield National Park,"Very nice vibe for a relaxing weekend.

Wildlife and nature all around, toilets available, and a place to grab some food just nearby.

Watch out for the little (well, rather big) lizards harmless but surprising!

A few spiders as well.

A very enjoyable moment.",5,a week ago,,,,
regional,Google Places,Litchfield National Park,"I spent one day exploring Litchfield National Park, and it was definitely not enough time to fully appreciate it. However, I was able to visit nearly all the main sites accessible by SUV. Every stop, except for Bamboo Creek, had well-maintained facilities such as restrooms and picnic tables. I also found the information boards at each location very useful – they provide detailed insights about the park, which is especially important since mobile reception is limited. Overall, I truly loved the experience and would highly recommend it.",5,a week ago,,,,
regional,Google Places,Litchfield National Park,"Absolutely stunning area. Take plenty of water and sunscreen, you'll be spending the day... a picnic would also be a good idea as there's tables to stop at at the major swimming holes...",5,3 months ago,,,,
regional,Google Places,Litchfield National Park,"I really enjoyed my time at Litchfield National Park—such a stunning place with waterfalls, swimming holes, and scenic walks. It’s well-maintained and not overly crowded, which made exploring really enjoyable. We camped in the surrounding area, which added to the whole experience. A must-visit if you’re in the Top End!",5,5 months ago,,,,
regional,Google Places,Litchfield National Park,"Most of the experience was great as always but I think the campsites at the 2wd Florence Falls camp-site are too close together and noise carries very easily even when you are trying to be quiet. I guess it does depend on the people in the camp grounds but it isn't realistic to expect people to whisper all the time once the sun goes down. Other than that, the swimming spots are clean, well maintained and always beautiful. Always a good trip out to Litchfield!",4,2 months ago,,,,
regional,Google Places,Florence Falls Waterhole,"A stunning spot for a swim and easily one of my favourite attractions in Litchfield National Park.

There are two access options: a steep staircase of around 130 steps or a longer, stair-free path that’s more accessible. We visited around midday on a Tuesday — it was fairly busy, but still plenty of space to enjoy the water.

The twin waterfalls aren’t immediately visible from the viewing area, but once you’re in the pool, they reveal themselves beautifully. The swim to the falls is short and manageable — unlike Wangi or Edith Falls, which require a longer swim. I’d highly recommend bringing a pool noodle (a Territory essential!) as the water is deep and it makes floating much more relaxing.

Sitting beneath the falls with water cascading over you was incredibly refreshing. For the adventurous, there are rock ledges nearby to climb and jump from. There’s also a calm, shallow creek off to the side for a more laid-back experience.

Perfect for all swimming levels — an absolute must-visit.",5,a month ago,,,,
regional,Google Places,Florence Falls Waterhole,Amazing waterfalls where you can swim during the dry season (once marked safe to do so). Lots of little rock pools to just dip your feet in if you aren't keen for a swim. Absolutely beautiful location although it can get busy in peak periods. You can swim right behind one of the waterfalls in one area which is an amazing experience. Just note you do need to swim against the flow of water to get to the actual waterfall itself which can be more tiring than expected.,5,a month ago,,,,
regional,Google Places,Florence Falls Waterhole,"hidden gem in Litchfield National Park. The twin waterfalls cascading into a clear, refreshing plunge pool are perfect for a swim, especially on a hot day. The walk down through the monsoon forest adds to the experience, with plenty of shady spots and wildlife along the way. It’s well-kept, easy to access, and a great place to relax and cool off. A must-visit if you’re exploring the Top End.",5,2 months ago,,,,
regional,Google Places,Florence Falls Waterhole,It is absolutely gorgeous and one of my favourite experiences in the NT. The car park gets very full in peak periods so be aware. Bring bathers as you don't want to miss swimming here - it's truly a magnificent experience. You can walk the 135 stairs down to the plunge pool or take the 1.1km track (easy walk - about 15 mins) through the bush/rainforest to get there - they both end up at the same place. Toilets and change rooms are near the carpark. Bring food & water. It's very rocky so some mobility required.,5,2 months ago,,,,
regional,Google Places,Florence Falls Waterhole,"Natural wonder accessible for all.
Where you can swim under the waterfall?
The nature around is preserved. Expect a lot of tourists.",5,a month ago,,,,
regional,Google Places,Nitmiluk National Park,"Where to even start?! Nitmiluk National Park is absolutely breathtaking. The sheer scale of the gorges, the rugged cliffs, and the peaceful Katherine River winding through it all make this place unforgettable. Every corner feels like a postcard – whether you’re cruising along the river, hiking one of the many trails, or simply taking in the views.

It’s not just the scenery, but the sense of history and culture here that makes it so special. The connection to the Jawoyn people is deeply felt, and it adds such richness to the experience.

This park is a true Northern Territory gem – wild, stunning, and completely awe-inspiring. A must-see for anyone visiting the Top End.",5,a month ago,,,,
regional,Google Places,Nitmiluk National Park,"Nitmiluk National Park is an unforgettable stop—we camped there for three nights and had an amazing time exploring the region. We went hiking, kayaking through the stunning gorges, and even tried to spot freshwater crocs (no luck, but still a thrill!). The landscapes are breathtaking and the park is well set up for visitors. Highly recommended for anyone looking to experience the Top End’s natural beauty.",5,5 months ago,,,,
regional,Google Places,Nitmiluk National Park,"Cruised through an ancient gorge system. These sandstones in the Katherine Gorge are 1600 million years old.
Very sweaty and lots of flies. But still worth the 7 - hour drive overnight trip from TC.
P. S. Where the 2007 Rogue crocodile movie was shot and the final pitstop of the Amazing Race Australia 2019.",4,a month ago,,,,
regional,Google Places,Nitmiluk National Park,Enjoyed my time at the park. Nice walks and water holes to see.,5,2 months ago,,,,
regional,Google Places,Nitmiluk National Park,What a great spot and the sunset dinner cruise was out of this world !!!,5,a month ago,,,,
city,Google Places,Darwin Waterfront Precinct,"Lovely spot for a nice walk, meal or shopping. Very close to the convention center. The waterfront is beautiful to walk and you have decent choices for hotels and restaurants!",5,2 weeks ago,,,,
city,Google Places,Darwin Waterfront Precinct,"Coool place. Love how there’s a lot of restaurants with happy hours too amidst the salty pools, playgrounds and wave 🌊 pool (Fee). So much to offer here’s there’s even a water playground (Fee). Great place to hang out and/or cool off!",5,a month ago,,,,
city,Google Places,Darwin Waterfront Precinct,Loved this place. They have done an amazing job. Wave pool was fun for adults and kids and so many nice places around for lunch or just a drink. Can't wait to come back,5,a week ago,,,,
city,Google Places,Darwin Waterfront Precinct,Place is great for a day out plenty of food shops and picnic areas. There is a wave pool and free swimming area. Also a playground and good toilets. You can also go on the water obstacle course but will cost a family of 4 100 dollars. Bring the dog and the whole family. Safe swimming no crocks,5,4 months ago,,,,
city,Google Places,Darwin Waterfront Precinct,"I coming with family to have holiday to Darwin and we come to visit waterfront and we love it 😍Good places to take family for all day long vacation or picnics at here   kids can swim at the beach , they have playgrounds , public toilets , souvenir shops , surf shop, and lots restaurants , bars and small market to buy snacks or cool drinks , and also can visit oil tunnels WW11 not far from here … lots parkings and lots shade trees good brings ur picnic mats and swim at the beach and very close with wave pools",5,a month ago,,,,
city,Google Places,Mindil Beach Sunset Market,"A great experience, a good range of food stalls and an amazing sunset to sit and watch. I visited about 12 years ago and these markets seemed to be lacking craft stalls this time, however was a good local experience. We had ice cream and watched some people perform at the stage area which was lovely. Parking was really easy too",4,a month ago,,,,
city,Google Places,Mindil Beach Sunset Market,"This is the most vibrant market I've been to in Australia.
An abundance of quality food stalls, with cooking smells wafting across the site.
Being able to sit on the sand and watch the sun setting over the water, as you enjoy your meal, is an unforgettable experience.
Make sure to allow enough time to park, grab some food and get to the beach, so you don't miss the show!
For those into arts, crafts, massage and face painting, you'll not be left wanting, either.",5,a month ago,,,,
city,Google Places,Mindil Beach Sunset Market,"I always visit the Mindil Beach Sunset Markets while I am in Darwin,  as it is always a highlight for me:) The markets run every Thursday and Sunday from 4 pm to 9 pm, during the dry season which is late April through to late October.

It does get extremely busy, so the crowds might not be for everyone. But the main attraction is the sunset. The view from Mindil Beach is pretty special; The sun looks bigger here as it sets right over the Arafura sea and you get that uninterrupted horizon. It’s one of those sunsets that really stops you in your tracks. Everyone claps when it is over because it is spectacular!

There’s a great mix of street food stalls, local arts and crafts, and live music. I even saw people doing camel rides along the beach as the sun was coming down.

Something to note – you can’t bring dogs into the market area, unless it’s a certified assistance dog. It’s a bit of a shame if you’re travelling with your pet, but good to know before you go.

In July, the sun sets around 6.30 pm, so it’s worth getting there early to find a good spot, and get a good car park. If you’re visiting Darwin, this is a must-do – especially for that sunset.",5,a month ago,,,,
city,Google Places,Mindil Beach Sunset Market,"The Mindil Beach Markets are a must-visit — and it’s easy to see why they’re one of Darwin’s top attractions. The atmosphere was incredible, set right by the beach with a stunning sunset over the water that truly added to the magic.

There’s a huge variety of food stalls offering global cuisines — from American and Southern European to Southeast Asian and classic Aussie — alongside quirky arts and crafts, all run by local vendors. Supporting NT small businesses made the experience even more meaningful.

Live music and whip-cracking demonstrations added to the entertainment, and for something a little different, camel rides along the beach are also available. Facilities were thoughtfully laid out, with toilets at both ends, portable ATMs, and plenty of parking (we Ubered there with no trouble at all).

Prices were a little above average, but that’s expected in Darwin. All in all, we had an amazing time — it’s absolutely worth planning your visit around a Thursday or Sunday evening to catch this vibrant, beachside market.",5,a month ago,,,,
city,Google Places,Mindil Beach Sunset Market,What a great marketing to visit especially for the food stalls. Incredible food from all the way around the world. Great clothes and nice Nan stores so do yourself a favour and get down and check it out and I recommend going early as the queues get so long once the sun starts to set.,5,3 weeks ago,,,,
city,Google Places,Museum and Art Gallery of the Northern Territory,"Definately recommend visiting the Museum and Art Gallery of the NT. There is a lot to see here from the entomology displays, cyclone Tracey exhibit and the amazing Aboriginal and Torres Strait Islander art. I would definately set aside more time than you expect to look at everything on display. We were lucky enough to visit during the Telstra NATSIA display. The artwork was so varied and captivating it was difficult to select a favourite to vote for.",5,a month ago,,,,
city,Google Places,Museum and Art Gallery of the Northern Territory,Great place to spend a couple of hours.  Very Interesting exhibitions.  Lots of history and culture here. Friendly staff. Only downside is that the bicycle parking was not shaded.  Not wanting to return to a melted saddle i had to park it accross the road at the ski club.,4,a week ago,,,,
city,Google Places,Museum and Art Gallery of the Northern Territory,"Great! So much to see, I wish we'd allowed more time for the visit. But we did get round to see everything (just). The Cyclone Tracy display is very vivid and interesting, lots of footage and interviews from the time. The collections of marine animal, birds and insects were very well displayed, beautiful to look at.
The contemporary Aboriginal art exhibition which was stunning.",5,2 months ago,,,,
city,Google Places,Museum and Art Gallery of the Northern Territory,"What an amazing museum! So many exhibits to see and learn about. They have something for everyone including art, animals (sea, land, and air), local Darwin history, maritime history, and much more. Oh and it's also FREE?!?",5,3 weeks ago,,,,
city,Google Places,Museum and Art Gallery of the Northern Territory,"MAGNT is a small but wonderfully curated museum — and best of all, completely free to enter (though small donations are appreciated). After our 5-day road trip from Alice Springs, it was a no-brainer stop upon arriving in Darwin.

The exhibits were diverse and engaging, featuring a beautiful showcase of local fauna, Indigenous art, and a deeply moving section dedicated to Cyclone Tracy. Visiting on a Wednesday meant few crowds, making the experience calm, easy to navigate, and unhurried — a real plus.

The well air-conditioned rooms offered a refreshing escape from the heat and humidity outside. Overall, MAGNT is a hidden gem that’s well worth a visit, especially given its accessible location and free entry. Highly recommended for anyone exploring Darwin.",5,a month ago,,,,
city,Google Places,Crocosaurus Cove,"What a great experience! A must do while your in Darwin, the staff are great and friendly too! Make sure you catch the variety of feeding and informative shows they have. Recommended getting the pass out at lunch and grabbing some local cuisine before heading back in for the arvo. Cool little gift shop also",5,a month ago,,,,
city,Google Places,Crocosaurus Cove,"Highly recommend you check this place out. For 40$ AUD per adult, you can get a fun enough experience. You can pay more to do things like feed the crocodiles and swim in a tank nearby. This place is mind blowing for sure as I’ve never seen an animal that large from up close. You don’t need to buy tickets in advance for the basic entry ticket. I am unsure if you have to buy in advance for the other options.",5,2 months ago,,,,
city,Google Places,Crocosaurus Cove,"Awesome day out, well worth the money we spent. We witnessed a snake eating a rat! We held a lizard & a snake at no extra cost, we seen many snakes, crocodiles, turtles and lizards. Crocodile show was fantastic, when in Darwin we would go the again.",5,a month ago,,,,
city,Google Places,Crocosaurus Cove,"Overhyped and mainly for kids, attractions are standard and very basic. The croc feeding is comedic at best. You can certainly hold the baby crocs, but the picture is $35. The swimming with the crocs looked super lame as well. The croc just sits there while you splash about in a plastic container for $$$$! Like other reviews stated, the other park is better, especially for the crazy entrance fee.",3,3 weeks ago,,,,
city,Google Places,Crocosaurus Cove,We really enjoyed Crocosaurus cove.  Good viewing of the crocodiles with feeding sessions. Lots of reptiles to see and there was a snake and reptile show. We also got to see the people in the clear cage swim in the croc pool. All exhibits were easy to see. It's in the city and easy to get to. I would recommend a visit.,5,2 months ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,"A mouthful of a name for Darwin's Botanic gardens but George Brown is the very reason it is still in a good state after Cyclone Tracey of 1974. Did a guided walk with Walk Darwin & according to guide John, this was not the only cyclone to wreak damage in the gardens.

It is expansive, so you will get an excellent workout as it is set on a hilly slope - find a layout map if you want to get through it all.

Notable section is the Madagascar & African garden with massive Baob trees incl the local native Adansonia Gregorii.

Waterfall has not worked for quite awhile & it is evident parts of the garden is neglected. Interesting tropical trees like Ashoka Seraca (religious significance to Buddhists), toxic Suicide Tree (Cerberus Odallam) - up there with Death Cap mushies 🫣, Pride of Burma Amhertsia, Black Bean Moreton chestnut tree, Sausage Tree (er.. rr..true - from Africa) & quite few others used in perfumes, medicinal oils or just plain quirky.

Main entrance is actually across the road from Mindil Sunset Beach area - look for Eva's Cafe on google which is just past  entrance. Interesting sculptures scattered around, some good & others like the dinosaurs in the cycad area plain garish (cast off from elsewhere). The Centre is worth a visit for background & seed saving history. We spotted a Rufuos Owl & you will see & hear the ubiquitous native scrubfowls.

Wld be really good to visit this special garden in the wet season - bit too hot, humid & parched on our guided tour on Sun 27/7/25 a week ago to enjoy it properly though I still did!",4,a month ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,"A beautiful part of Darwin. Completely different here in the dry season. Lots of birds, trees and walking trails.
They were setting up for a concert the next day in one area.
Great place to come and sit, read a book, go for a walk or have a picnic.",5,3 months ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,"Nice gardens but the kids play area is a miss. Supposed to be renovated but just fenced off doesn't look like anything is happening and was supposed to be finished by now. My grandson was very disappointed.
Cafe staff are lovely, helpful and friendly.",3,3 months ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,"We came to have a look the garden today (5 June 2025 ), went to their information centre, got the map of the garden. Very difficult to follow the map and the actual garden especially when you're an elderly. A few section were closed today.
The garden itself was well kept, tidy and clean.  Ended up spending the whole morning at the nice Cafe there.",3,3 months ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,These gardens are divine. Nicely spread out with lots of seating and shade. Beautiful.,5,a week ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,"A mouthful of a name for Darwin's Botanic gardens but George Brown is the very reason it is still in a good state after Cyclone Tracey of 1974. Did a guided walk with Walk Darwin & according to guide John, this was not the only cyclone to wreak damage in the gardens.

It is expansive, so you will get an excellent workout as it is set on a hilly slope - find a layout map if you want to get through it all.

Notable section is the Madagascar & African garden with massive Baob trees incl the local native Adansonia Gregorii.

Waterfall has not worked for quite awhile & it is evident parts of the garden is neglected. Interesting tropical trees like Ashoka Seraca (religious significance to Buddhists), toxic Suicide Tree (Cerberus Odallam) - up there with Death Cap mushies 🫣, Pride of Burma Amhertsia, Black Bean Moreton chestnut tree, Sausage Tree (er.. rr..true - from Africa) & quite few others used in perfumes, medicinal oils or just plain quirky.

Main entrance is actually across the road from Mindil Sunset Beach area - look for Eva's Cafe on google which is just past  entrance. Interesting sculptures scattered around, some good & others like the dinosaurs in the cycad area plain garish (cast off from elsewhere). The Centre is worth a visit for background & seed saving history. We spotted a Rufuos Owl & you will see & hear the ubiquitous native scrubfowls.

Wld be really good to visit this special garden in the wet season - bit too hot, humid & parched on our guided tour on Sun 27/7/25 a week ago to enjoy it properly though I still did!",4,a month ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,"A beautiful part of Darwin. Completely different here in the dry season. Lots of birds, trees and walking trails.
They were setting up for a concert the next day in one area.
Great place to come and sit, read a book, go for a walk or have a picnic.",5,3 months ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,"Nice gardens but the kids play area is a miss. Supposed to be renovated but just fenced off doesn't look like anything is happening and was supposed to be finished by now. My grandson was very disappointed.
Cafe staff are lovely, helpful and friendly.",3,3 months ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,"We came to have a look the garden today (5 June 2025 ), went to their information centre, got the map of the garden. Very difficult to follow the map and the actual garden especially when you're an elderly. A few section were closed today.
The garden itself was well kept, tidy and clean.  Ended up spending the whole morning at the nice Cafe there.",3,3 months ago,,,,
city,Google Places,George Brown Darwin Botanic Gardens,These gardens are divine. Nicely spread out with lots of seating and shade. Beautiful.,5,a week ago,,,,
city,Google Places,Fannie Bay Gaol,Free museum to see an outdoor prison from back in the day. Takes about 30mins-1 hour to see it all. Great for tourists visiting darwin.,5,a month ago,,,,
city,Google Places,Fannie Bay Gaol,"This is an unexpectedly delightful attraction, and it's completely free. Although the site isn't large, the visit experience is excellent. At the entrance, a staff member hands out a map and kindly informs us that we can listen to an audio guide by scanning a QR code with our phones. The process is very easy, and we followed the suggested route on the map. Each room had interesting explanations, and the entire visit took about an hour. It’s definitely a place worth seeing.",5,a year ago,,,,
