review_id,Place name,Rating,original_review,sentence,lemma_sentence
10,Uluṟu-Kata Tjuṯa National Park,1.0,it a rock but its not the rock,it a rock but its not the rock,it a rock but it not the rock
11,Uluṟu-Kata Tjuṯa National Park,1.0,"You have to pay $80 bucks to enter when my taxes already pay for the upkeep, just to not be able to climb it, don’t even get me started on the fact that the hotels charge you extra, the rock it’s self yeah kinda good.",you have to pay bucks to enter when my taxes already pay for the upkeep just to not be able to climb it dont even get me started on the fact that the hotels charge you extra the rock its self yeah kinda good,you have to pay buck to enter when my tax already pay for the upkeep just to not be able to climb it dont even get me start on the fact that the hotel charge you extra the rock it self yeah kinda good
12,Darwin Waterfront Precinct,1.0,"It was 8am on a weekday no one around. Thought I was doing the right thing.
I have 2 labradors and the sign says dogs must be on leads. I had them restrained them on a post out of the way of pedestrians. Me sitting on a park bench close by.  Were told that I could not leave my dogs there??
Reason, dogs must be restained by hand??
Never heard of this before, is this the norm here?",it was am on a weekday no one around thought i was doing the right thing i have labradors and the sign says dogs must be on leads i had them restrained them on a post out of the way of pedestrians me sitting on a park bench close by were told that i could not leave my dogs there reason dogs must be restained by hand never heard of this before is this the norm here,it be be on a weekday no one around think i be do the right thing i have labrador and the sign say dog must be on lead i have them restrain them on a post out of the way of pedestrian me sit on a park bench close by be tell that i could not leave my dog there reason dog must be restained by hand never heard of this before be this the norm here
13,Darwin Waterfront Precinct,1.0,"We got a $40 parking ticket for not displaying a valid ticket.

The sign only says ""download the app"", which is not helpful in the slightest.

It doesn't say when you need to pay and when you don't, so how is anyone supposed to know?

We downloaded the app and it's a long drawn out sign up process. How is that good for tourists?

They really need to make things less difficult as this is a train wreck for any visitor.",we got a parking ticket for not displaying a valid ticket the sign only says download the app which is not helpful in the slightest it doesnt say when you need to pay and when you dont so how is anyone supposed to know we downloaded the app and its a long drawn out sign up process how is that good for tourists they really need to make things less difficult as this is a train wreck for any visitor,we get a parking ticket for not display a valid ticket the sign only say download the app which be not helpful in the slightest it doesnt say when you need to pay and when you dont so how be anyone suppose to know we download the app and it a long drawn out sign up process how be that good for tourist they really need to make thing less difficult a this be a train wreck for any visitor
14,Darwin Waterfront Precinct,1.0,Don't feel safe. People lurking around cars and lots of reports of stolen cars.,dont feel safe people lurking around cars and lots of reports of stolen cars,dont feel safe people lurk around car and lot of report of stolen car
15,Darwin Waterfront Precinct,1.0,"Hated the greasy food that was served up, just thought it might have been a bad night, went again and it was worse, we actually had to clean up the table but in the end had to ask for someone to clean it down. The food was worse than the first time, me and 3 other people will not go and waste money there again and will never tell people to try it for themselves.",hated the greasy food that was served up just thought it might have been a bad night went again and it was worse we actually had to clean up the table but in the end had to ask for someone to clean it down the food was worse than the first time me and other people will not go and waste money there again and will never tell people to try it for themselves,hat the greasy food that be serve up just think it might have be a bad night go again and it be worse we actually have to clean up the table but in the end have to ask for someone to clean it down the food be bad than the first time me and other people will not go and waste money there again and will never tell people to try it for themselves
16,Darwin Waterfront Precinct,1.0,"The fish and chips are not up to the usual standard. The price that was charged for dismal pieces of chips and fish. I will stick to the local fish and chip shop.
The salad was pretty sad as well. I wish I had taken a photo.",the fish and chips are not up to the usual standard the price that was charged for dismal pieces of chips and fish i will stick to the local fish and chip shop the salad was pretty sad as well i wish i had taken a photo,the fish and chip be not up to the usual standard the price that be charge for dismal piece of chip and fish i will stick to the local fish and chip shop the salad be pretty sad a well i wish i have take a photo
17,Darwin Waterfront Precinct,1.0,"Precinct
Very disappointed.
Food was average
Steak was under cooked.
Chips cold and looked like cooked in old oil.
Chicken wings to dry.",precinct very disappointed food was average steak was under cooked chips cold and looked like cooked in old oil chicken wings to dry,precinct very disappointed food be average steak be under cook chip cold and look like cook in old oil chicken wing to dry
18,Darwin Waterfront Precinct,1.0,"Be careful of the overzealous parking inspectors who are on the war path. Constantly issuing parking fines for the most marginal of infringements, all in an attempt to raise extra revenue.",be careful of the overzealous parking inspectors who are on the war path constantly issuing parking fines for the most marginal of infringements all in an attempt to raise extra revenue,be careful of the overzealous parking inspector who be on the war path constantly issue park fine for the most marginal of infringement all in an attempt to raise extra revenue
19,Darwin Waterfront Precinct,1.0,"**** Nueron Scooter.. WARNING ****
My hubby and I thought what a great idea, lets do it. We both opted for the $25 =3 day hire.
My hubby activated, mine would mot. Checked yes, money deducted from my account, but not able to activate to ise scooters, eveeytime we tried it asked dor another payment. Tried to contact company ZERO help. So bye bye $25 for both of us as no point my hubby going off on his own.
I have given the company 3 days to respond and have sent numerous help messages.
Very disappointing 
**** BUYER BEWARE ****",nueron scooter warning my hubby and i thought what a great idea lets do it we both opted for the day hire my hubby activated mine would mot checked yes money deducted from my account but not able to activate to ise scooters eveeytime we tried it asked dor another payment tried to contact company zero help so bye bye for both of us as no point my hubby going off on his own i have given the company days to respond and have sent numerous help messages very disappointing buyer beware,nueron scooter warn my hubby and i think what a great idea let do it we both opt for the day hire my hubby activate mine would mot checked yes money deduct from my account but not able to activate to ise scooter eveeytime we try it ask dor another payment try to contact company zero help so bye bye for both of u a no point my hubby go off on his own i have give the company day to respond and have send numerous help message very disappointing buyer beware
20,Darwin Waterfront Precinct,1.0,Gives you a $40 parking ticket for parking in a place that offers free parking. Make sure you get that paper that says that you acknowledge the parking is free! Dumbest rule ever.,gives you a parking ticket for parking in a place that offers free parking make sure you get that paper that says that you acknowledge the parking is free dumbest rule ever,give you a park ticket for park in a place that offer free park make sure you get that paper that say that you acknowledge the parking be free dumbest rule ever
21,Cooinda Lodge Kakadu,1.0,"Paid top dollar for three nights.

“Powered grass sites”

Spin arrival the site numbers do not even come close to the map. (Someone needs to learn to draw a map)

Power and water supply some 40m away from caravan site.  Not sure who carry’s 40m of hose.

Upon asking staff what the go is in regards to the power and water was told by a backpacker to bad so sad.

So we now have no water. During the three night stay we have power for all of 4 hours as it kept tripping there main circuit breaker. After various phone calls and various attempts with some “maintenance” person walking around with a torch doing absolutely nothing. There was still no electricity. So now. No water no power. And a rediculous price tag for each night.

Figured we would go check out the shop, to find they charging $15 for a bag of potato chips…. Absolutely rediculous. Highway robbery.

Do not recommend to anyone. Would rather camp on the side of the road.",paid top dollar for three nights powered grass sites spin arrival the site numbers do not even come close to the map someone needs to learn to draw a map power and water supply some m away from caravan site not sure who carrys m of hose upon asking staff what the go is in regards to the power and water was told by a backpacker to bad so sad so we now have no water during the three night stay we have power for all of hours as it kept tripping there main circuit breaker after various phone calls and various attempts with some maintenance person walking around with a torch doing absolutely nothing there was still no electricity so now no water no power and a rediculous price tag for each night figured we would go check out the shop to find they charging for a bag of potato chips absolutely rediculous highway robbery do not recommend to anyone would rather camp on the side of the road,pay top dollar for three night power grass site spin arrival the site number do not even come close to the map someone need to learn to draw a map power and water supply some m away from caravan site not sure who carry m of hose upon ask staff what the go be in regard to the power and water be tell by a backpacker to bad so sad so we now have no water during the three night stay we have power for all of hour a it keep trip there main circuit breaker after various phone call and various attempt with some maintenance person walk around with a torch do absolutely nothing there be still no electricity so now no water no power and a rediculous price tag for each night figure we would go check out the shop to find they charge for a bag of potato chip absolutely rediculous highway robbery do not recommend to anyone would rather camp on the side of the road
22,Cooinda Lodge Kakadu,1.0,"Literally taking advantage of the campers because there are not a lot of options around. showers and toilets so dirty doesn't matter when you walk in charge way too much money for what they offer, been staying in places that charge less and we're way more cleaner and better",literally taking advantage of the campers because there are not a lot of options around showers and toilets so dirty doesnt matter when you walk in charge way too much money for what they offer been staying in places that charge less and were way more cleaner and better,literally take advantage of the camper because there be not a lot of option around shower and toilet so dirty doesnt matter when you walk in charge way too much money for what they offer be stay in place that charge less and be way more cleaner and good
23,Cooinda Lodge Kakadu,1.0,"Cooinda is extremely expensive and terribly managed.

Cost cutting is evident throughout with dirty, poky rooms, malfunctioning appliances, poor food quality and short-staffing.

Bring your own food and camp at one of Kakadu’s many great sites, avoid Cooinda at all costs.

If seeking a family holiday, go to one of the holiday parks closer to Darwin, they’re all superior and much much cheaper.",cooinda is extremely expensive and terribly managed cost cutting is evident throughout with dirty poky rooms malfunctioning appliances poor food quality and shortstaffing bring your own food and camp at one of kakadus many great sites avoid cooinda at all costs if seeking a family holiday go to one of the holiday parks closer to darwin theyre all superior and much much cheaper,cooinda be extremely expensive and terribly manage cost cutting be evident throughout with dirty poky room malfunction appliance poor food quality and shortstaffing bring your own food and camp at one of kakadus many great site avoid cooinda at all cost if seek a family holiday go to one of the holiday park closer to darwin theyre all superior and much much cheap
24,Cooinda Lodge Kakadu,1.0,"Accessibility for those with mobility issues was terrible and probably needs to be reported to the appropriate authority. One wheelchair accessible bathroom and one accessible carpark for the whole resort. Shameful and ableist.
Missing out on a lot of people wanting to visit this amazing place",accessibility for those with mobility issues was terrible and probably needs to be reported to the appropriate authority one wheelchair accessible bathroom and one accessible carpark for the whole resort shameful and ableist missing out on a lot of people wanting to visit this amazing place,accessibility for those with mobility issue be terrible and probably need to be report to the appropriate authority one wheelchair accessible bathroom and one accessible carpark for the whole resort shameful and ableist miss out on a lot of people want to visit this amazing place
25,Cooinda Lodge Kakadu,1.0,Everything was good until they started blasting non stop advertising in the main eating area where the restaurant and bar is outside. There’s a huge TV and giant sound system literally blasting non stop commercials for hours from around 6pm and it is still going at 9:30 pm. You can hear it through out the entire campground. Sounds like we are at a sports game or concert or something. So annoying! So much for being in nature! Morning update: Starting at 8am music is blasting and sounds of construction.,everything was good until they started blasting non stop advertising in the main eating area where the restaurant and bar is outside theres a huge tv and giant sound system literally blasting non stop commercials for hours from around pm and it is still going at pm you can hear it through out the entire campground sounds like we are at a sports game or concert or something so annoying so much for being in nature morning update starting at am music is blasting and sounds of construction,everything be good until they start blast non stop advertising in the main eating area where the restaurant and bar be outside theres a huge tv and giant sound system literally blast non stop commercial for hour from around pm and it be still go at pm you can hear it through out the entire campground sound like we be at a sport game or concert or something so annoy so much for be in nature morning update starting at be music be blast and sound of construction
26,Cooinda Lodge Kakadu,1.0,Daylight robbery for any food bought here. You'd get better value in a fine dining restaurant.,daylight robbery for any food bought here youd get better value in a fine dining restaurant,daylight robbery for any food buy here youd get good value in a fine dining restaurant
27,Mercure Kakadu Crocodile Hotel,1.0,"The rooms are a little dated, in particular the bathroom. Outside the room area very dated and no nice area to sit. However, the restaurant meal was the worst I have had. When we ordered, the waitress was tapping her pen when my wife was deciding on her meal. She seemed more interested in getting back behind the counter. When the meal was delivered, entree and my wife’s meal was delivered. After 25 minutes and my 3rd drink, I then had to go ask where my meal was, the reply, “ did you want the meals together” which I said yes to, the waitress then said she would see where it was. 15minutes later, my wife’s meal has well and truly finished her meal. At this stage I had to go back up, tell them I wanted my meal, to again the waitress replied I’ll see where it is. Some time after that my meal finally arrived, they had already cleared the table of entree and my wife’s main. Some time later a waiter then apologized for the meal. I’m in my mid 60s, I’ve never had cause to complain about service in my life. Absolutely the worst service I have ever had.",the rooms are a little dated in particular the bathroom outside the room area very dated and no nice area to sit however the restaurant meal was the worst i have had when we ordered the waitress was tapping her pen when my wife was deciding on her meal she seemed more interested in getting back behind the counter when the meal was delivered entree and my wifes meal was delivered after minutes and my rd drink i then had to go ask where my meal was the reply did you want the meals together which i said yes to the waitress then said she would see where it was minutes later my wifes meal has well and truly finished her meal at this stage i had to go back up tell them i wanted my meal to again the waitress replied ill see where it is some time after that my meal finally arrived they had already cleared the table of entree and my wifes main some time later a waiter then apologized for the meal im in my mid s ive never had cause to complain about service in my life absolutely the worst service i have ever had,the room be a little dated in particular the bathroom outside the room area very dated and no nice area to sit however the restaurant meal be the bad i have have when we order the waitress be tap her pen when my wife be decide on her meal she seem more interested in get back behind the counter when the meal be deliver entree and my wifes meal be deliver after minute and my rd drink i then have to go ask where my meal be the reply do you want the meal together which i say yes to the waitress then say she would see where it be minute later my wife meal have well and truly finish her meal at this stage i have to go back up tell them i want my meal to again the waitress reply ill see where it be some time after that my meal finally arrive they have already clear the table of entree and my wife main some time later a waiter then apologize for the meal im in my mid s ive never have cause to complain about service in my life absolutely the bad service i have ever have
28,Mercure Kakadu Crocodile Hotel,1.0,"I was so excited to bring my parents here who were visiting from New Zealand. Unfortunately, the price is far too high for what's on offer. The whole place feels crusty and in need of a refresh. It's like stepping into a time capsule from the early 90s but without the charm. Our room's fan didn't work, and even though we booked for three people, there were only two coffee mugs provided. Two of the restaurant staff came across as rude and unwelcoming. Even though we booked, the guy at the restaurant desk on arrival seemed so bothered by our presence. We had to eat from the buffet because the guy said the kitchen closes in 3 minutes, so we didn't really have an option. The food was average at best. The waitress accidentally smashed a wine glass on our table, which damaged my mum's bag. While they did apologise, their attitude felt dismissive. We stayed polite, as anyone should when accidents happen, but a gesture like a complimentary drink would have gone a long way. Overall it doesn't reflect well on the Accor brand. Unfortunately, we wouldn't stay again.",i was so excited to bring my parents here who were visiting from new zealand unfortunately the price is far too high for whats on offer the whole place feels crusty and in need of a refresh its like stepping into a time capsule from the early s but without the charm our rooms fan didnt work and even though we booked for three people there were only two coffee mugs provided two of the restaurant staff came across as rude and unwelcoming even though we booked the guy at the restaurant desk on arrival seemed so bothered by our presence we had to eat from the buffet because the guy said the kitchen closes in minutes so we didnt really have an option the food was average at best the waitress accidentally smashed a wine glass on our table which damaged my mums bag while they did apologise their attitude felt dismissive we stayed polite as anyone should when accidents happen but a gesture like a complimentary drink would have gone a long way overall it doesnt reflect well on the accor brand unfortunately we wouldnt stay again,i be so excited to bring my parent here who be visit from new zealand unfortunately the price be far too high for whats on offer the whole place feel crusty and in need of a refresh it like step into a time capsule from the early s but without the charm our room fan didnt work and even though we book for three people there be only two coffee mug provide two of the restaurant staff come across a rude and unwelcoming even though we book the guy at the restaurant desk on arrival seem so bother by our presence we have to eat from the buffet because the guy say the kitchen close in minute so we didnt really have an option the food be average at best the waitress accidentally smash a wine glass on our table which damage my mum bag while they do apologise their attitude felt dismissive we stay polite a anyone should when accident happen but a gesture like a complimentary drink would have go a long way overall it doesnt reflect well on the accor brand unfortunately we wouldnt stay again
29,Mercure Kakadu Crocodile Hotel,1.0,"STAY SOMEWHERE ELSE!

I am writing to express my concerns regarding our current stay at your hotel in Room 112.

Upon entering the room, we noticed black mold on the ceiling, which raised immediate health and safety concerns. While we understand that issues like these can sometimes arise, we would have expected them to be addressed promptly for the safety and comfort of guests. We did not feel comfortable staying in a room with visible mold, and this significantly impacted our experience.

Additionally, during our stay, we encountered an issue with the Wi-Fi, which was not functional. When we raised this concern with the front desk, the response we received was dismissive, with the staff member implying that this was expected because we were in a remote area. Furthermore, another guest also dismissed our concerns, making us feel that our complaints were not taken seriously.

As a result, we felt that our experience was far below the standard that we expected from your establishment, particularly in terms of guest service and room conditions. While we understand that the location may have limitations, we believe it’s important to maintain a certain level of service and cleanliness for all guests, regardless of the setting.

We are only staying for one night, but I wanted to bring these issues to your attention so that future guests do not encounter the same problems. I hope that you can take these concerns seriously and work toward improving the room conditions and customer service in the future.",stay somewhere else i am writing to express my concerns regarding our current stay at your hotel in room upon entering the room we noticed black mold on the ceiling which raised immediate health and safety concerns while we understand that issues like these can sometimes arise we would have expected them to be addressed promptly for the safety and comfort of guests we did not feel comfortable staying in a room with visible mold and this significantly impacted our experience additionally during our stay we encountered an issue with the wifi which was not functional when we raised this concern with the front desk the response we received was dismissive with the staff member implying that this was expected because we were in a remote area furthermore another guest also dismissed our concerns making us feel that our complaints were not taken seriously as a result we felt that our experience was far below the standard that we expected from your establishment particularly in terms of guest service and room conditions while we understand that the location may have limitations we believe its important to maintain a certain level of service and cleanliness for all guests regardless of the setting we are only staying for one night but i wanted to bring these issues to your attention so that future guests do not encounter the same problems i hope that you can take these concerns seriously and work toward improving the room conditions and customer service in the future,stay somewhere else i be write to express my concern regard our current stay at your hotel in room upon enter the room we notice black mold on the ceiling which raise immediate health and safety concern while we understand that issue like these can sometimes arise we would have expect them to be address promptly for the safety and comfort of guest we do not feel comfortable stay in a room with visible mold and this significantly impacted our experience additionally during our stay we encounter an issue with the wifi which be not functional when we raise this concern with the front desk the response we receive be dismissive with the staff member implying that this be expect because we be in a remote area furthermore another guest also dismiss our concern make u feel that our complaint be not take seriously a a result we felt that our experience be far below the standard that we expect from your establishment particularly in term of guest service and room condition while we understand that the location may have limitation we believe it important to maintain a certain level of service and cleanliness for all guest regardless of the setting we be only stay for one night but i want to bring these issue to your attention so that future guest do not encounter the same problem i hope that you can take these concern seriously and work toward improve the room condition and customer service in the future
30,Mercure Kakadu Crocodile Hotel,1.0,"At over $400 per night, you might expect room phones to be able to call Reception- but NO. They use wifi phones, and the wifi service is appallingly bad. So too bad if you have a medical emergency in your room and need help!
Absolutely disgraceful value for money",at over per night you might expect room phones to be able to call reception but no they use wifi phones and the wifi service is appallingly bad so too bad if you have a medical emergency in your room and need help absolutely disgraceful value for money,at over per night you might expect room phone to be able to call reception but no they use wifi phone and the wifi service be appallingly bad so too bad if you have a medical emergency in your room and need help absolutely disgraceful value for money
31,Mercure Kakadu Crocodile Hotel,1.0,"A novel experience being in a hotel that was designed like a Crocodile. The rooms were in very poos condition and need to be renovated. The staff were grumpy and need to be taught to smile, engage in small talk and actually provide a great experience for guests. I was very disappointed with Mercure Kakadu, I would not recommend it.",a novel experience being in a hotel that was designed like a crocodile the rooms were in very poos condition and need to be renovated the staff were grumpy and need to be taught to smile engage in small talk and actually provide a great experience for guests i was very disappointed with mercure kakadu i would not recommend it,a novel experience be in a hotel that be design like a crocodile the room be in very poos condition and need to be renovate the staff be grumpy and need to be teach to smile engage in small talk and actually provide a great experience for guest i be very disappointed with mercure kakadu i would not recommend it
32,Mercure Kakadu Crocodile Hotel,1.0,"Hotel lobby is beautiful and spacious. But during my stay, AC is not cold and had to slept throughout the night sweating. I did reported this to the hotel, the maintenance came and said there’s nothing much he can do as the AC temperature is a locked setting. However he keeps wanting to come back and check on temperature although there’s nothing he can do about the AC and kept disturbing my rest. I did have Do Not Disturb Sign on the door but he kept ignoring it. I have informed reception staff that since I am only staying for 2 nights, i dont need him to keep coming to check AC temperature, especially when he can’t do anything about it. But again, he ignored the do not disturb sign and knocked on my door when I was sleeping. I think it’s common courtesy not to knock if guest has a do not disturb sign on the door. Clearly this hotel has lack of communication among staff members.
Room has no microwave, kettle is so dirty and disgusting  like it has never been scrubbed for ages.
No housekeeping service at all during my stay of 3 days and 2 nights. No replenishment of tea or even towel change.",hotel lobby is beautiful and spacious but during my stay ac is not cold and had to slept throughout the night sweating i did reported this to the hotel the maintenance came and said theres nothing much he can do as the ac temperature is a locked setting however he keeps wanting to come back and check on temperature although theres nothing he can do about the ac and kept disturbing my rest i did have do not disturb sign on the door but he kept ignoring it i have informed reception staff that since i am only staying for nights i dont need him to keep coming to check ac temperature especially when he cant do anything about it but again he ignored the do not disturb sign and knocked on my door when i was sleeping i think its common courtesy not to knock if guest has a do not disturb sign on the door clearly this hotel has lack of communication among staff members room has no microwave kettle is so dirty and disgusting like it has never been scrubbed for ages no housekeeping service at all during my stay of days and nights no replenishment of tea or even towel change,hotel lobby be beautiful and spacious but during my stay ac be not cold and have to sleep throughout the night sweat i do report this to the hotel the maintenance come and say there nothing much he can do a the ac temperature be a locked setting however he keep want to come back and check on temperature although there nothing he can do about the ac and keep disturb my rest i do have do not disturb sign on the door but he keep ignore it i have inform reception staff that since i be only stay for night i dont need him to keep come to check ac temperature especially when he cant do anything about it but again he ignore the do not disturb sign and knock on my door when i be sleep i think it common courtesy not to knock if guest have a do not disturb sign on the door clearly this hotel have lack of communication among staff member room have no microwave kettle be so dirty and disgust like it have never be scrub for age no housekeeping service at all during my stay of day and night no replenishment of tea or even towel change
33,Mercure Kakadu Crocodile Hotel,1.0,"Mould on windows and bathrooms, aircon is disabled late at night causing the room temp to become very hot, gardens run down and not clean, only one bath towel per room.  Very expensive room rate.  I won't be staying at another Mecure hotel again!",mould on windows and bathrooms aircon is disabled late at night causing the room temp to become very hot gardens run down and not clean only one bath towel per room very expensive room rate i wont be staying at another mecure hotel again,mould on window and bathroom aircon be disable late at night cause the room temp to become very hot garden run down and not clean only one bath towel per room very expensive room rate i wont be stay at another mecure hotel again
