Text,Rating,Place name,clean_text
"At over $400 per night, you might expect room phones to be able to call Reception- but NO. They use wifi phones, and the wifi service is appallingly bad. So too bad if you have a medical emergency in your room and need help!
Absolutely disgraceful value for money",1.0,Mercure Kakadu Crocodile Hotel,at over per night you might expect room phones to be able to call reception but no they use wifi phones and the wifi service is appallingly bad so too bad if you have a medical emergency in your room and need help absolutely disgraceful value for money
"A novel experience being in a hotel that was designed like a Crocodile. The rooms were in very poos condition and need to be renovated. The staff were grumpy and need to be taught to smile, engage in small talk and actually provide a great experience for guests. I was very disappointed with Mercure Kakadu, I would not recommend it.",1.0,Mercure Kakadu Crocodile Hotel,a novel experience being in a hotel that was designed like a crocodile the rooms were in very poos condition and need to be renovated the staff were grumpy and need to be taught to smile engage in small talk and actually provide a great experience for guests i was very disappointed with mercure kakadu i would not recommend it
"Hotel lobby is beautiful and spacious. But during my stay, AC is not cold and had to slept throughout the night sweating. I did reported this to the hotel, the maintenance came and said there’s nothing much he can do as the AC temperature is a locked setting. However he keeps wanting to come back and check on temperature although there’s nothing he can do about the AC and kept disturbing my rest. I did have Do Not Disturb Sign on the door but he kept ignoring it. I have informed reception staff that since I am only staying for 2 nights, i dont need him to keep coming to check AC temperature, especially when he can’t do anything about it. But again, he ignored the do not disturb sign and knocked on my door when I was sleeping. I think it’s common courtesy not to knock if guest has a do not disturb sign on the door. Clearly this hotel has lack of communication among staff members.
Room has no microwave, kettle is so dirty and disgusting  like it has never been scrubbed for ages.
No housekeeping service at all during my stay of 3 days and 2 nights. No replenishment of tea or even towel change.",1.0,Mercure Kakadu Crocodile Hotel,hotel lobby is beautiful and spacious but during my stay ac is not cold and had to slept throughout the night sweating i did reported this to the hotel the maintenance came and said theres nothing much he can do as the ac temperature is a locked setting however he keeps wanting to come back and check on temperature although theres nothing he can do about the ac and kept disturbing my rest i did have do not disturb sign on the door but he kept ignoring it i have informed reception staff that since i am only staying for nights i dont need him to keep coming to check ac temperature especially when he cant do anything about it but again he ignored the do not disturb sign and knocked on my door when i was sleeping i think its common courtesy not to knock if guest has a do not disturb sign on the door clearly this hotel has lack of communication among staff members room has no microwave kettle is so dirty and disgusting like it has never been scrubbed for ages no housekeeping service at all during my stay of days and nights no replenishment of tea or even towel change
"Mould on windows and bathrooms, aircon is disabled late at night causing the room temp to become very hot, gardens run down and not clean, only one bath towel per room.  Very expensive room rate.  I won't be staying at another Mecure hotel again!",1.0,Mercure Kakadu Crocodile Hotel,mould on windows and bathrooms aircon is disabled late at night causing the room temp to become very hot gardens run down and not clean only one bath towel per room very expensive room rate i wont be staying at another mecure hotel again
"Thank you for the opportunity to review our stay.

We have travelled extensively both domestically and internationally and I must say our experience at Kakadu Crocodile Hotel was not a highlight.

Whilst the staff are great and the novel design concept sort of works the rooms are so outdated it is pathetic.

We had to ask for an additional chair as we only had the beds as a sitting option for 2 people.

No lounge chairs in the room and there is room for them.

Shower over bath – really ! Shower rose leaked badly.

NO lift – we were on the 1st floor and had to manage everything up the stairs.

No ceiling fan in the NT – it’s the ONLY place we stayed at that didn’t have one.

Size of fridge was hopeless for us to store our perishable supplies – the bar did give us extra ice for the esky which helped.

We didn’t eat there as the lady on reception recommended somewhere else…… which worked out great.

I would rate the accommodation at 2 stars.

Value for money  1 star.

I am already telling everyone I know not to stay at Kakadu Crocodile Hotel.",1.0,Mercure Kakadu Crocodile Hotel,thank you for the opportunity to review our stay we have travelled extensively both domestically and internationally and i must say our experience at kakadu crocodile hotel was not a highlight whilst the staff are great and the novel design concept sort of works the rooms are so outdated it is pathetic we had to ask for an additional chair as we only had the beds as a sitting option for people no lounge chairs in the room and there is room for them shower over bath really shower rose leaked badly no lift we were on the st floor and had to manage everything up the stairs no ceiling fan in the nt its the only place we stayed at that didnt have one size of fridge was hopeless for us to store our perishable supplies the bar did give us extra ice for the esky which helped we didnt eat there as the lady on reception recommended somewhere else which worked out great i would rate the accommodation at stars value for money star i am already telling everyone i know not to stay at kakadu crocodile hotel
Booked a room for a particular reason due to specific requirements. Due to renovations they can not offer the room anymore and only offered us an upgrade which would cost  $4000 more. They now want to keep the 50% deposit despite it being them that withdraw the room we had fully paid for. Not a good experience.,1.0,Mindil Beach Casino Resort,booked a room for a particular reason due to specific requirements due to renovations they can not offer the room anymore and only offered us an upgrade which would cost more they now want to keep the deposit despite it being them that withdraw the room we had fully paid for not a good experience
"We had lunch today at
The Vue restaurant. I have absolutely nothing good to say about the place. The food was very ordinary and overpriced. The staff on entry were not welcoming, he seemed more interested in looking at the computer screen. The overpriced coffee served was just warm. My overall opinion is I’ll never set foot in that place again.",1.0,Mindil Beach Casino Resort,we had lunch today at the vue restaurant i have absolutely nothing good to say about the place the food was very ordinary and overpriced the staff on entry were not welcoming he seemed more interested in looking at the computer screen the overpriced coffee served was just warm my overall opinion is ill never set foot in that place again
"The worst ever !!!!

Paid $10,000 for 2 rooms for 3 nights

The list

1 mouldy bathrooms
2 bar fridge set to freeze and froze our room service beers and my medication
3 no bottle open in room to even open beers
4 one roll of toilet paper for 3 nights
5 dirty plates left at front door after room cleaning all afternoon
6 no kettle in room
7 used microwave in room to heat water for cuppa and found a previous guests dirty cup, teabag and milk in mwo. Not sure how long it had been there, but didn’t smell great
8 leaking toilet noisy for 3 days and 3 nights
9 no evening turn down service to refresh towels used throughout the day
10 coffee shop tables where very sticky even the pepper and salt stuck to the table
11 can’t call reception after 8pm as phone didn’t work
12 pool sun lounger cushions are dirty and an eye sore to look at. I would lay on them.
13 front door entry dirty
14 rubbish in front garden for entire stay
15 outdoor shower dirty and didn’t work - tap handle fell off when we tested it.
16 furniture old and stained - even a burnt iron mark on the coffee table, amongst others

DONT EVER STAY HERE…… STAY AT VIBE AT THE DARWIN WATERFRONT …… much better location and I am sure the standards will be much higher than here - wouldn’t be hard really.

Paying super high room rates for a 5 star hotel - not sure how they got this rating….. but no more than a 3 stars in my opinion.  Extremely disappointed to say the least.

Spoke to Eddie the manager, very apologetic on the phone at the time, but nothing changed for our next 2 nights stay!!!!

***********************
STILL NO RESPONSE FROM THE HOTEL ONE MONTH AFTER POSTING THIS REVIEW!!!!!! SAYS A-LOT REALLY!!!",1.0,Mindil Beach Casino Resort,the worst ever paid for rooms for nights the list mouldy bathrooms bar fridge set to freeze and froze our room service beers and my medication no bottle open in room to even open beers one roll of toilet paper for nights dirty plates left at front door after room cleaning all afternoon no kettle in room used microwave in room to heat water for cuppa and found a previous guests dirty cup teabag and milk in mwo not sure how long it had been there but didnt smell great leaking toilet noisy for days and nights no evening turn down service to refresh towels used throughout the day coffee shop tables where very sticky even the pepper and salt stuck to the table cant call reception after pm as phone didnt work pool sun lounger cushions are dirty and an eye sore to look at i would lay on them front door entry dirty rubbish in front garden for entire stay outdoor shower dirty and didnt work tap handle fell off when we tested it furniture old and stained even a burnt iron mark on the coffee table amongst others dont ever stay here stay at vibe at the darwin waterfront much better location and i am sure the standards will be much higher than here wouldnt be hard really paying super high room rates for a star hotel not sure how they got this rating but no more than a stars in my opinion extremely disappointed to say the least spoke to eddie the manager very apologetic on the phone at the time but nothing changed for our next nights stay still no response from the hotel one month after posting this review says alot really
"Having paid nearly $1500 for a 2 night stay, the room we paid for (a superior lagoon room) was  severely sub-par. Also not having a bed there for my daughter who was staying with us and booked for. They then put us in the room next door which was exactly the same. They refused to help and gave us a “tough luck” attitude. We then had to pay an extra $150 to get the bare minimum, a room with a bed for my daughter.
After expressing how disappointed we were about the service, we were offered only $75 back with a “that’s the best we can do”
House keeping staff were lovely and very accommodating, bar staff were lovely, the pool was great, but the service of the management staff was 1/10.
Not worth the money.",1.0,Mindil Beach Casino Resort,having paid nearly for a night stay the room we paid for a superior lagoon room was severely subpar also not having a bed there for my daughter who was staying with us and booked for they then put us in the room next door which was exactly the same they refused to help and gave us a tough luck attitude we then had to pay an extra to get the bare minimum a room with a bed for my daughter after expressing how disappointed we were about the service we were offered only back with a thats the best we can do house keeping staff were lovely and very accommodating bar staff were lovely the pool was great but the service of the management staff was not worth the money
"Worse service. Cleared my breakfast table without asking me and threw my full meal with out my permission. When I asked my bag is here and why did you cleared my table, she told she will bring my food for free.  Thats a way too disrespectful and unprofessional dealing to customer.",1.0,Mindil Beach Casino Resort,worse service cleared my breakfast table without asking me and threw my full meal with out my permission when i asked my bag is here and why did you cleared my table she told she will bring my food for free thats a way too disrespectful and unprofessional dealing to customer
"The Asian female dealer (Chinese I think, with a butterfly on her chest) at Poker table was really bad at customer service. She did not even help everyone to collect the chips after winning, just took her commission then pushed everything to our side (chips are still in the circle) and let the players stack and collect the chips by themself. Sometimes she’s rude to some players as well.",1.0,Mindil Beach Casino Resort,the asian female dealer chinese i think with a butterfly on her chest at poker table was really bad at customer service she did not even help everyone to collect the chips after winning just took her commission then pushed everything to our side chips are still in the circle and let the players stack and collect the chips by themself sometimes shes rude to some players as well
"My husband and I are visitors to Australia from UK.
This afternoon we came across a semi conscious aboriginal man in a ditch near Mindil Beach. He appeared in very poor shape. Not having Australian phones we rushed to the nearest place and reported what we had seen and asked the staff at the entrance of the casino to raise some help for the man. The staff said they would draw attention of the situation to their manager. An hour later the aboriginal man was still in the same position.  I gave him some water which sadly he was in no fit condition to drink and returned to the casino to find out what action had been taken.
On speaking with the manager we were told no action had been taken. I was told the man is outside the resort grounds and not their responsibility. I understand that and was not asking them to do anything to physically help personally, merely to phone the emergency services. They refused and refused even to allow me to make a call to the emergency services from their landline saying they did not have phones.
I am astounded at the stance the manager of the casino took.
A very kind passer by eventually helped us by logging a call with emergency services so that the aboriginal man could get medical assistance. I hope it was not too late as the man was in a bad state. I do not believe his problem was alcohol related.
Make your own mind up whether what the stance of the casino resort staff was morally wrong. I was considering a holiday at the resort but will give it a miss.",1.0,Mindil Beach Casino Resort,my husband and i are visitors to australia from uk this afternoon we came across a semi conscious aboriginal man in a ditch near mindil beach he appeared in very poor shape not having australian phones we rushed to the nearest place and reported what we had seen and asked the staff at the entrance of the casino to raise some help for the man the staff said they would draw attention of the situation to their manager an hour later the aboriginal man was still in the same position i gave him some water which sadly he was in no fit condition to drink and returned to the casino to find out what action had been taken on speaking with the manager we were told no action had been taken i was told the man is outside the resort grounds and not their responsibility i understand that and was not asking them to do anything to physically help personally merely to phone the emergency services they refused and refused even to allow me to make a call to the emergency services from their landline saying they did not have phones i am astounded at the stance the manager of the casino took a very kind passer by eventually helped us by logging a call with emergency services so that the aboriginal man could get medical assistance i hope it was not too late as the man was in a bad state i do not believe his problem was alcohol related make your own mind up whether what the stance of the casino resort staff was morally wrong i was considering a holiday at the resort but will give it a miss
Visited this casino with my friend. Got refused to enter. Reason: My shirt was too wet. Asked the staff what I'm supposed to do if it's raining. Got told it's my own fault If i do not have my umbrella with me.,1.0,Mindil Beach Casino Resort,visited this casino with my friend got refused to enter reason my shirt was too wet asked the staff what im supposed to do if its raining got told its my own fault if i do not have my umbrella with me
